lga_name_lower	remarks	number_lang_twitter
aberfeldy	non-eng	4
ada	non-eng	3
aire valley	non-eng	4
aireys inlet	non-eng	216
airly	non-eng	1
alexandra	non-eng	85
allambee	non-eng	1
allansford	non-eng	4
amherst	non-eng	1
amphitheatre	non-eng	1
anglesea	non-eng	261
apollo bay	non-eng	482
appin south	non-eng	1
apsley	non-eng	3
arapiles	non-eng	12
ararat	non-eng	1582
arawata	non-eng	1
arbuckle	non-eng	2
arcadia	non-eng	1
arcadia downs	non-eng	2
arcadia south	non-eng	1
archerton	non-eng	1
archies creek	non-eng	3
ardmona	non-eng	1
armstrong creek	non-eng	5
arthurs seat	non-eng	42
ascot	non-eng	1
avenel	non-eng	24
avoca	non-eng	115
avon plains	non-eng	3
axe creek	non-eng	1
axedale	non-eng	7
bacchus marsh	non-eng	436
bagshot north	non-eng	1
bahgallah	non-eng	1
bairnsdale	non-eng	786
ballan	non-eng	35
ballangeich	non-eng	2
ballarat	non-eng	25741
ballyrogan	non-eng	2
balmattum	non-eng	4
balmoral	non-eng	1
balnarring	non-eng	11
balnarring beach	non-eng	11
balook	non-eng	4
bambra	non-eng	1
bannockburn	non-eng	36
baranduda	non-eng	12
barfold	non-eng	1
barjarg	non-eng	2
barmah	non-eng	1
barnawartha	non-eng	2
barnawartha north	non-eng	7
barrabool	non-eng	1
barwite	non-eng	2
barwon heads	non-eng	1226
batesford	non-eng	9
baw baw village	non-eng	24
bayindeen	non-eng	1
bayles	non-eng	28
beaconsfield upper	non-eng	8
bealiba	non-eng	4
bears lagoon	non-eng	1
beaufort	non-eng	81
beech forest	non-eng	9
beechworth	non-eng	342
beenak	non-eng	1
bellbrae	non-eng	7
bellbridge	non-eng	2
bellfield	non-eng	17
bemm river	non-eng	3
bena	non-eng	1
benalla	non-eng	720
bend of islands	non-eng	1
bendigo	non-eng	6908
bendoc	non-eng	8
bengworden	non-eng	1
beremboke	non-eng	1
berringa	non-eng	2
berrybank	non-eng	1
berrys creek	non-eng	1
bete bolong	non-eng	1
bethanga	non-eng	3
beulah	non-eng	2
big desert	non-eng	1
biggara	non-eng	1
birchip	non-eng	16
birregurra	non-eng	76
black range	non-eng	3
blackheath	non-eng	2
blackwarry	non-eng	1
blackwood	non-eng	28
blakeville	non-eng	4
blind bight	non-eng	10
bogong	non-eng	3
boho south	non-eng	4
bolinda	non-eng	1
bonn	non-eng	1
bonnie doon	non-eng	11
boolarra	non-eng	1
boolite	non-eng	1
boomahnoomoonah	non-eng	3
boort	non-eng	17
bornes hill	non-eng	17
boundary bend	non-eng	1
bradford	non-eng	2
branxholme	non-eng	2
briagolong	non-eng	2
bridgewater	non-eng	9
bright	non-eng	488
brim	non-eng	2
broadford	non-eng	149
brodribb river	non-eng	1
brumby	non-eng	3
bruthen	non-eng	5
buangor	non-eng	5
buchan south	non-eng	1
buckland	non-eng	2
buckley	non-eng	1
budgeree	non-eng	1
buffalo	non-eng	1
buffalo river	non-eng	1
buldah	non-eng	1
bulgana	non-eng	1
bulla	non-eng	8
bullarto	non-eng	1
bullengarook	non-eng	1
buln buln east	non-eng	1
bumberrah	non-eng	1
bundalong	non-eng	5
bungal	non-eng	1
bunyip	non-eng	9
burramine south	non-eng	1
burrumbeet	non-eng	1
bushfield	non-eng	2
buxton	non-eng	3
byaduk north	non-eng	1
cabarita	non-eng	6
cadello	non-eng	1
caldermeade	non-eng	3
calivil	non-eng	1
cambarville	non-eng	2
campbells forest	non-eng	1
campbelltown	non-eng	1
camperdown	non-eng	152
cann river	non-eng	1
cannons creek	non-eng	2
cape bridgewater	non-eng	2
cape clear	non-eng	1
cape conran	non-eng	3
cape otway	non-eng	9
cape paterson	non-eng	94
cape schanck	non-eng	39
cape woolamai	non-eng	70
carapooee	non-eng	1
cardigan village	non-eng	1
cardinia	non-eng	2
cardross	non-eng	1
carisbrook	non-eng	142
carlisle river	non-eng	2
carlsruhe	non-eng	2
carngham	non-eng	1
carpendeit	non-eng	1
carrajung	non-eng	1
carron	non-eng	4
carwarp	non-eng	2
casterton	non-eng	11
castlemaine	non-eng	10577
cathcart	non-eng	1
caveat	non-eng	1
cavendish	non-eng	2
ceres	non-eng	1
chandlers creek	non-eng	3
charlton	non-eng	10
chepstowe	non-eng	2
chesney vale	non-eng	1
chiltern	non-eng	32
chinkapook	non-eng	2
christmas hills	non-eng	4
churchill	non-eng	37
clifton creek	non-eng	1
clifton springs	non-eng	2973
club terrace	non-eng	2
clunes (vic.)	non-eng	288
clyde	non-eng	31
clydebank	non-eng	2
cobbannah	non-eng	5
cobberas	non-eng	1
cobden	non-eng	378
cobram	non-eng	98
cobram east	non-eng	5
cobungra	non-eng	4
cochranes creek	non-eng	1
codrington	non-eng	1
coghills creek	non-eng	1
cohuna	non-eng	87
coimadai	non-eng	4
colac	non-eng	667
colac west	non-eng	1
colbinabbin	non-eng	3
coleraine	non-eng	779
congupna	non-eng	2
coomoora	non-eng	1
cooriemungle	non-eng	1
cora lynn	non-eng	4
corinella	non-eng	13
cornishtown	non-eng	1
coroners court of victoria	non-eng	1
coronet bay	non-eng	5
corryong	non-eng	11
cosgrove	non-eng	1
cowes	non-eng	1303
creek junction	non-eng	1
cressy	non-eng	1
creswick	non-eng	759
crymelon	non-eng	4
cudgee	non-eng	1
cudgewa	non-eng	4
culla	non-eng	3
cullulleraine	non-eng	1
dales creek	non-eng	2
dalyston	non-eng	2
darlington	non-eng	2
darnum	non-eng	3
dartmoor	non-eng	1
dartmouth	non-eng	5
daylesford	non-eng	1480
deans marsh	non-eng	5
delatite	non-eng	1
deptford	non-eng	2
dereel	non-eng	1
dergholm	non-eng	6
derrinal	non-eng	3
derrinallum	non-eng	2
devenish	non-eng	3
diggers rest	non-eng	137
dimboola	non-eng	68
dingee	non-eng	1
dinner plain	non-eng	28
dixons creek	non-eng	13
docker	non-eng	1
docklands victoria harbour	non-eng	13
don valley	non-eng	1
donald	non-eng	1086
donnybrook	non-eng	5
dookie	non-eng	34
double bridges	non-eng	1
douglas	non-eng	1
drouin	non-eng	672
drummond	non-eng	4
drysdale	non-eng	2973
dumbalk	non-eng	1
dunkeld	non-eng	30
dunnstown	non-eng	12
dunolly	non-eng	8
dunrobin	non-eng	9
durham ox	non-eng	2
earlston	non-eng	1
east victoria park	non-eng	6
east warburton	non-eng	25
eastern view	non-eng	7
eastville	non-eng	1
ebden	non-eng	3
echuca	non-eng	1614
ecklin south	non-eng	1
edenhope	non-eng	2
eildon	non-eng	145
elaine	non-eng	1
ellaswood	non-eng	2
ellerslie	non-eng	1
ellinbank	non-eng	2
elmore	non-eng	5
elphinstone	non-eng	4
emu creek	non-eng	1
euroa	non-eng	50
eurobin	non-eng	2
eversley	non-eng	15
everton upper	non-eng	2
eynesbury	non-eng	3
fairhaven	non-eng	216
falls creek (vic.)	non-eng	621
fernshaw	non-eng	21
fish creek	non-eng	1
flinders	non-eng	162
flinders university victoria square	non-eng	4
forge creek	non-eng	1
forrest	non-eng	26
foster	non-eng	57
fosterville	non-eng	3
foxhow	non-eng	2
french island	non-eng	2
fulham	non-eng	2
garfield	non-eng	7
garfield north	non-eng	5
gatum	non-eng	1
geelong	non-eng	25702
gellibrand	non-eng	1
gellibrand lower	non-eng	1
gembrook	non-eng	21
gentle annie	non-eng	2
georges creek	non-eng	12
gerahmin	non-eng	1
germantown	non-eng	2
ghin ghin	non-eng	8
gil gil	non-eng	16
gilderoy	non-eng	8
girgarre	non-eng	1
girgarre east	non-eng	84
gisborne	non-eng	541
gisborne south	non-eng	2
gladfield	non-eng	1
glen wills	non-eng	1
glenaire	non-eng	8
glenaladale	non-eng	1
glenburn	non-eng	6
glenfyne	non-eng	2
glengarry	non-eng	22
glengarry west	non-eng	1
glenisla	non-eng	5
glenluce	non-eng	1
glenlyon	non-eng	1
glenmaggie	non-eng	1
glenormiston north	non-eng	1
glenormiston south	non-eng	1
glenrowan	non-eng	39
glenthompson	non-eng	3
gnotuk	non-eng	1
golden beach	non-eng	4
goongerah	non-eng	1
goorambat	non-eng	1
goornong	non-eng	2
gorae	non-eng	1
gordon	non-eng	6
goulburn weir	non-eng	1
grampians	non-eng	5
grand ridge	non-eng	4
grantville	non-eng	89
granya	non-eng	1
gre gre	non-eng	1
great western	non-eng	6
greendale	non-eng	2
greenhill	non-eng	2
greens creek	non-eng	1
greenwald	non-eng	1
greta south	non-eng	2
guildford	non-eng	2
gunbower	non-eng	1
gundowring	non-eng	1
haddon	non-eng	1
halls gap	non-eng	347
hamilton	non-eng	422
hansonville	non-eng	1
happy valley	non-eng	1
harcourt	non-eng	27
harcourt north	non-eng	41
harmers haven	non-eng	2
harrietville	non-eng	18
harrow	non-eng	3
hattah	non-eng	1
hawkesdale	non-eng	1
healesville	non-eng	235
heathcote	non-eng	32
heathcote junction	non-eng	12
heathcote south	non-eng	1
heathmere	non-eng	3
hepburn springs	non-eng	1480
heyfield	non-eng	7
heywood	non-eng	18
hillside	non-eng	1
homebush	non-eng	1
hopetoun (vic.)	non-eng	28
hopetoun park	non-eng	20
hordern vale	non-eng	3
horsham	non-eng	718
howes creek	non-eng	2
howitt plains	non-eng	3
howqua	non-eng	2
howqua hills	non-eng	6
humevale	non-eng	1
huon	non-eng	3
indented head	non-eng	349
inglewood (vic.)	non-eng	29
ingliston	non-eng	6
invergordon	non-eng	3
inverleigh	non-eng	237
inverloch	non-eng	103
iraak	non-eng	2
jam jerrup	non-eng	3
jamieson	non-eng	17
jan juc	non-eng	1836
jeeralang	non-eng	6
jeetho	non-eng	1
jeffcott north	non-eng	1
jeparit	non-eng	8
jindivick	non-eng	1
joel south	non-eng	2
johanna	non-eng	2
jumbuk	non-eng	7
kalpienung	non-eng	1
kamarooka	non-eng	1
kanagulk	non-eng	2
kaniva	non-eng	378
katamatite	non-eng	1
katandra west	non-eng	1
kellalac	non-eng	4
kennett river	non-eng	3
kerang	non-eng	60
kergunyah	non-eng	1
kerrisdale	non-eng	1
kevington	non-eng	1
kewell	non-eng	2
kiata	non-eng	2
kiewa	non-eng	5
kilcunda	non-eng	70
killarney	non-eng	5
kilmore	non-eng	245
kinglake	non-eng	35
kinglake central	non-eng	2
kinglake west	non-eng	1
kingston	non-eng	1
kirkstall	non-eng	1
knockwood	non-eng	1
knowsley	non-eng	1
koetong	non-eng	1
kongwak	non-eng	2
koo wee rup	non-eng	9
koondrook	non-eng	1
kooreh	non-eng	6
koorool	non-eng	10
koroit	non-eng	3211
korumburra	non-eng	29
kulwin	non-eng	1
kyabram	non-eng	71
kyneton	non-eng	224
laang	non-eng	1
labertouche	non-eng	32
lah	non-eng	2
laharum	non-eng	2
lake boga	non-eng	88
lake charm	non-eng	1
lake eildon	non-eng	2
lake eppalock	non-eng	2
lake meran	non-eng	1
lake tyers beach	non-eng	5
lake tyrrell	non-eng	7
lakes entrance	non-eng	422
lancaster	non-eng	1
lancefield	non-eng	117
lang lang	non-eng	8
langi logan	non-eng	1
langkoop	non-eng	1
lara	non-eng	3785
larpent	non-eng	1
lascelles	non-eng	2
launching place	non-eng	67
lauriston	non-eng	2
lavers hill	non-eng	2
lawloit	non-eng	1
learmonth	non-eng	3
leigh creek	non-eng	3
leongatha	non-eng	390
leongatha south	non-eng	1
leopold	non-eng	140
lerderderg	non-eng	4
lethbridge	non-eng	2
lexton	non-eng	2
licola	non-eng	7
lillimur	non-eng	1
lima south	non-eng	3
lindenow	non-eng	1
linton	non-eng	1
lismore	non-eng	1
litchfield	non-eng	1
little desert	non-eng	1
little hampton	non-eng	1
little river	non-eng	37
little river victoria	non-eng	1
loch	non-eng	6
loch sport	non-eng	43
loch valley	non-eng	1
locksley	non-eng	1
longerenong	non-eng	1
longlea	non-eng	1
longwarry	non-eng	6
longwood	non-eng	1
longwood east	non-eng	3
lorne	non-eng	1147
lower moira	non-eng	1
lucas	non-eng	1
lurg	non-eng	1
lyonville	non-eng	3
macarthur	non-eng	5
macclesfield	non-eng	10
macedon	non-eng	142
macorna	non-eng	1
mafeking	non-eng	5
maffra	non-eng	85
mailors flat	non-eng	2
maindample	non-eng	2
maldon	non-eng	74
mallacoota	non-eng	143
malmsbury	non-eng	21
mambourin	non-eng	1
manangatang	non-eng	3
mandurang south	non-eng	1
manorina	non-eng	1
mansfield	non-eng	104
maramingo creek	non-eng	2
