lga_name_lower	value	percentage
aireys inlet - fairhaven	5	0.04
alexandra	2	0.01
anglesea	5	0.04
apollo bay	3	0.02
ararat	31	0.22
avoca	1	0.01
bacchus marsh	2	0.01
bairnsdale	12	0.08
ballan	3	0.02
ballarat	207	1.46
balmattum	1	0.01
bayles	1	0.01
beaufort	1	0.01
beechworth	9	0.06
benalla	26	0.18
bendigo	97	0.68
birregurra	4	0.03
bright	8	0.06
cabarita	1	0.01
camperdown	1	0.01
cape paterson	1	0.01
cape schanck	1	0.01
cape woolamai	1	0.01
carisbrook	1	0.01
carlsruhe	1	0.01
castlemaine	196	1.38
charlton	1	0.01
chiltern	1	0.01
churchill	2	0.01
clunes (vic.)	4	0.03
cobden	4	0.03
cobram	1	0.01
colac	4	0.03
colbinabbin	1	0.01
coleraine	2	0.01
cosgrove	1	0.01
cowes	12	0.08
creswick	15	0.11
daylesford - hepburn springs	25	0.18
derrinal	1	0.01
diggers rest	2	0.01
dinner plain	2	0.01
donald	9	0.06
drouin	4	0.03
drysdale - clifton springs	42	0.3
echuca	27	0.19
eildon	3	0.02
euroa	1	0.01
eurobin	1	0.01
falls creek (vic.)	30	0.21
fish creek	1	0.01
flinders	1	0.01
forrest	1	0.01
foster	4	0.03
geelong	371	2.61
girgarre east	1	0.01
gisborne	9	0.06
glenrowan	1	0.01
gordon	1	0.01
halls gap	5	0.04
hamilton	6	0.04
harrietville	1	0.01
healesville	3	0.02
horsham	10	0.07
humevale	1	0.01
indented head	4	0.03
ingliston	1	0.01
invergordon	1	0.01
inverleigh	5	0.04
inverloch	3	0.02
kaniva	13	0.09
kerang	1	0.01
kilmore	3	0.02
kirkstall	1	0.01
koroit	58	0.41
kyabram	1	0.01
kyneton	4	0.03
lake boga	2	0.01
lakes entrance	10	0.07
lancefield	2	0.01
lara	58	0.41
leongatha	6	0.04
leopold	4	0.03
lorne	32	0.23
macedon	7	0.05
maffra	7	0.05
mallacoota	1	0.01
maryborough (vic.)	2	0.01
marysville	2	0.01
meeniyan	2	0.01
melbourne	10998	77.48
melton	104	0.73
merbein	1	0.01
metung	3	0.02
mildura	13	0.09
mirboo north	1	0.01
moe - newborough	6	0.04
morton plains	1	0.01
morwell	3	0.02
mount beauty - tawonga south	1	0.01
mount hotham	4	0.03
mount lonarch	6	0.04
mount victoria	3	0.02
musk	1	0.01
myrtleford	1	0.01
nagambie	8	0.06
narracan	1	0.01
national gallery of victoria (ngv)	1	0.01
numurkah	36	0.25
ocean grove - barwon heads	11	0.08
officer	31	0.22
orbost	1	0.01
pakenham	19	0.13
parliament house of victoria	2	0.01
point lonsdale - queenscliff	3	0.02
port albert	1	0.01
port fairy	3	0.02
portarlington	33	0.23
portland (vic.)	4	0.03
queen victoria market	2	0.01
queen victoria night market	2	0.01
rainbow	2	0.01
red hill south	1	0.01
robinvale	1	0.01
rushworth	3	0.02
rutherglen	12	0.08
sale	8	0.06
san remo	1	0.01
sandy point	2	0.01
sea lake	2	0.01
seville east	12	0.08
seymour	6	0.04
shepparton - mooroopna	31	0.22
snake valley	3	0.02
st andrews	1	0.01
st leonards	5	0.04
state library of victoria	1	0.01
sunbury	32	0.23
sunset strip	1	0.01
swan hill	26	0.18
tallarook	2	0.01
tatura	16	0.11
toora	1	0.01
torquay - jan juc	33	0.23
trafalgar	5	0.04
traralgon	37	0.26
trentham east	1	0.01
trentham	10	0.07
tresco	1	0.01
ventnor	4	0.03
venus bay	2	0.01
victoria golf club	1	0.01
victoria island	1	0.01
victoria	940	6.62
victorian trades hall	1	0.01
wahgunyah	2	0.01
wallan	28	0.2
wangaratta	17	0.12
warragul	30	0.21
warrnambool	63	0.44
watchupga	1	0.01
winchelsea	1	0.01
wodonga	19	0.13
wonthaggi	3	0.02
woodend	4	0.03
woori yallock - launching place	1	0.01
wunghnu	5	0.04
wurruk	4	0.03
yarrawonga	46	0.32
